lnchprg	enroll	staff	math10	totcomp
23.6	602	104	11.6	29793
23.7	917	113.4	18.6	32120
23.8	598	100.3	18.8	31168
23.8	1102	113.4	16.2	31050
23.9	297	124.6	8.3	26012
23.9	1802	94.3	34.1	39622
24.1	4065	94.3	21.8	36232
24.2	2910	86.4	19.7	38655
24.2	1285	85.6	4.3	39821
24.3	2031	85.7	26.5	35839
24.3	6901	100.6	14.3	40845
24.5	2347	84	21.1	42615
24.6	1161	88.7	35.2	34845
24.7	1164	102.4	23.5	38830
24.7	672	131.9	8.3	37968
24.9	1285	83.1	20.4	38348
25	1723	101.9	16.3	39044
25.2	930	107.2	27.4	33185
25.2	507	108.7	22.2	33834
25.2	1072	94.8	5.8	41649
25.7	1362	97.8	19	33850
25.9	914	90.5	19.2	43129
25.9	6220	82.6	15.1	53002
26.1	626	107.5	20.6	36827
26.1	7252	95.7	22.1	41929
26.3	747	100.9	12.2	31268
26.3	1179	103.5	26.3	38112
26.4	1610	94.1	22.5	36733
26.6	2528	90.9	30.3	40864
26.7	2150	91.6	23	37525
26.7	3505	82	11.9	43992
26.9	2246	101.5	36.6	33489
27	5174	99.4	24.4	46541
27.1	1033	105.3	23.6	33333
27.2	2580	81.4	16.4	41675
27.2	1234	90.3	60.6	36787
27.2	4630	85.8	24	39784
27.4	1447	96	16	31736
27.4	1765	90.7	27.5	33515
27.4	273	108.1	44.4	32902
27.5	2375	90.8	24.7	34632
27.5	1134	97	15.4	34798
27.7	1858	85.3	23.7	36302
27.7	2030	90.1	26.3	38404
27.7	2163	116.2	29.1	31252
27.7	1415	96.5	25.6	40856
27.8	1575	90.4	21	39930
27.9	1440	80.8	37.8	39466
27.9	2692	95.2	38.2	41388
28	2137	116.3	10.1	45281
28.1	2517	109.3	15.5	56234
28.3	1047	108.4	16.7	30034
28.6	995	88.7	16.4	37013
28.7	888	99.7	26.7	33692
28.7	2009	103.2	17.4	34175
28.7	390	115.4	48	37748
29	1646	90.2	34.1	33192
29	10971	91.3	19.8	37816
29	894	89.5	34	38836
29.1	1084	89.5	39	34459
29.1	1827	93.1	19.3	35861
29.2	1100	112.4	20.5	30934
29.3	3271	96.6	14.8	33909
29.4	1215	84.5	30.6	33701
29.5	984	75.4	17.9	36721
29.6	1204	99.2	8.5	34033
29.6	751	104.1	20.6	34372
29.8	13932	88.2	18.8	43697
29.8	5497	110.4	27.9	41711
29.8	2928	86.5	18.2	56503
29.9	2606	97.2	24.6	34006
30.4	1480	108.7	22.4	32425
30.6	1969	101.4	30.3	32847
30.7	2689	101	31.2	40329
30.8	3005	100.2	25.4	36837
30.9	5945	94.3	20	35732
31	538	101.6	32.3	30738
31.1	739	95.1	20	33227
31.1	1736	103.6	21.2	37671
31.1	450	111.5	36.7	44254
31.2	1144	87.6	27.8	38921
31.3	1514	109	20.6	30752
31.3	382	100.6	32.3	37175
31.4	570	109.1	31.3	31310
31.5	533	120.1	45.5	38902
31.7	1991	97.7	22.1	38632
32.1	1980	96.9	22.4	34268
32.2	1615	98.5	31	32386
32.2	2475	92.2	27.9	36097
32.3	2074	100.4	32.9	33764
32.3	2482	101.9	17.9	35616
32.3	491	112.8	36.7	36543
32.3	13608	111.8	22.1	45158
32.4	5045	87.3	26.2	44295
32.5	1067	102.8	17.5	29587
32.5	3839	84.9	27.1	38585
32.6	471	125.4	11.6	29142
32.9	1119	99.4	24.1	31456
32.9	5466	127	29.3	44094
33	1222	89	25.6	37088
33.2	578	88.9	26.2	41083
33.2	753	107.4	17.2	41633
33.4	1643	103.2	18.4	35586
33.6	2506	89.8	27.1	36582
33.6	271	166.6	25.8	33845
33.8	2171	87.6	16.2	34008
33.9	729	99	10.3	38994
34	2311	104.9	13.8	29571
34	883	94.8	29.5	34198
34.1	621	94.9	29.8	35878
34.1	424	117.3	12.2	31453
34.2	1470	87.1	9.8	36410
34.3	991	107.5	9.8	33865
34.3	12605	105.5	9.4	44523
34.5	4572	108	18.7	37638
34.6	575	113.9	15.4	28526
34.8	1173	116.7	20.7	29305
35	1337	97.3	44.8	35008
35.1	519	93.2	14.3	34167
35.4	3334	119.2	5.2	43138
35.4	226	162.8	66.7	34844
35.5	1647	110.8	21.1	30881
35.6	747	85.8	26.1	36346
35.6	1698	91.1	23.7	35415
35.8	757	110.4	11.9	28929
35.9	282	131.2	38.9	41801
36.2	1419	107	15	33138
36.3	2480	108.5	8.5	34089
37.3	2839	96.8	27.5	29688
37.3	398	104.3	38.5	30271
37.6	507	96.4	22.6	38831
37.7	2491	93.5	12.4	36095
37.9	8187	99.9	18.1	36256
38	332	98.3	38.9	33824
38	541	106.7	12.1	31800
38.1	9105	99.7	21.4	38367
38.1	624	125	18.9	35862
38.3	2011	90.7	20.5	36215
38.6	1199	103.8	33.3	34119
38.6	507	118.3	10.3	29668
38.7	434	122.7	10.5	29947
38.8	1874	110.3	15.3	28749
39	3349	90.9	15.3	35821
39	340	140.2	13.8	28312
39.2	799	98.3	27.8	32628
39.2	1100	99.7	28.8	42893
39.3	2901	94.1	18.8	35413
39.4	2115	106.2	19.3	46661
39.6	2135	88.7	17.7	35826
40	2060	97.7	22.5	34502
40.3	3762	82.8	24.8	46582
40.5	1887	143.6	17.7	33362
40.6	1492	91.5	12.9	33380
40.6	1828	91.9	25	33827
40.6	668	121.3	12.5	29212
40.7	878	97.5	16.3	40344
40.8	481	121.3	22.2	32541
41.1	333	80	25.9	37139
41.7	1204	117.7	11.8	35260
42.3	1604	103.2	17.4	30984
42.3	1174	100.2	20.3	35344
42.3	1244	106.1	14.3	34351
42.4	1789	112.7	15.6	33622
42.7	212	120.3	18.8	26853
42.9	385	118.2	17.4	32275
43.6	2139	89.7	16.3	41100
43.9	12105	111.7	21.9	41545
44.1	524	99.2	15.4	32806
44.1	2005	99	15	37033
44.4	336	101.5	21.7	31451
44.9	546	109.9	14.6	40908
45	1813	65.9	44.2	51959
45.1	412	112.6	15.4	32220
45.1	1330	108.6	17	34366
45.1	6931	98.7	16	42027
45.2	4254	108.7	7.3	39545
45.4	1686	86.6	37.1	36237
45.7	394	115.8	26.8	29044
46	761	113	6.1	30276
46.2	358	120.9	22.9	34257
46.7	2210	96.8	14	50684
47.9	13454	129	6.6	38380
48.3	1656	110.1	8.2	31208
48.3	1448	112.9	18.1	31066
48.4	759	106.7	23.2	30986
48.4	590	111.8	23.5	30528
48.5	303	108.9	33.3	29310
49.2	488	89.9	30.6	36392
49.7	626	110.2	20	32311
49.9	852	123.3	4.4	25483
51	1266	90.6	16.9	36507
51.2	1964	78.7	14.5	41934
51.2	9166	101.8	11.2	42589
51.6	14733	107.3	10.2	41300
51.7	865	103.5	15.2	31417
52.3	1668	104.9	16	31377
52.9	688	109.7	30	29044
54	702	131.4	15.5	41536
54.3	2171	92.3	4.9	35545
55.2	2264	118.7	20.3	35156
55.9	820	86.9	1.9	35109
56.8	1658	126.4	5.8	38767
59.9	363	134.8	5.9	24498
60.9	1689	78.4	7	51324
61.1	2631	100.7	8.1	42675
73.8	4024	85.2	11.5	38898
74.4	850	122.4	9.5	35723
79.5	7585	93.3	2.7	41327
